1,3,5,6,7,8,10,19,20,27,29,34,35,37,40,41,42,43,49,50,74,80,82,84,86,88,90,92,100,110,111,245,246,250,255,260,265,300,301,302,303,440,490,500,502,504,505,506,513,520,530,533,536,538,546,590,591,592,600,610,611,630,650,651,653,690,700,710,711,730,740,776,810,830,856,949,950,992,994,997,998,999
ocn431996271,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090820s1976    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o431996271;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA033760|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55TW55BN76092,  |aNPS-55TW55BN76092,,,"1 |aTaylor, James G.",,,13|aAn examination of the effects of the criterion functional on optimal fire-support policies /|cby James G. Taylor and Gerald G. Brown.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1976.",,  |a48 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Office of Naval Research, Arlington, Virginia 22217""--Cover.;  |a""September 1976""--Cover.;  |a""NPS-55TW55BN76092""--Cover.;  |a""Partial report for period September 1975 - September 1976"" --Cover.;  |aAuthor(s) key words: Military tactics, time-sequential decision making, fire support allocation, Lanchester theory of combat, time-sequential combat games, optimal distribution of supporting fire, combat dynamics, deterministic optimal control.",,  |aIncludes bibliographical references (p. 41-43),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; September 1976.,"  |aThis paper examines the dependence of the structure of optimal time- sequential fire support policies on the quantification of military objectives by considering four specific problems, each corresponding to a different quantification of objectives (i.e. criterion functional). The authors consider the optimal time-sequential allocation of supporting fires during the 'approach to contact' of friendly infantry against enemy defensive positions. The combat dynamics are modelled by deterministic Lanchester-type equations of warfare, and the optimal fire-support policy for each one-sided combat optimization problem is developed via optimal control theory. The problems are all nonconvex, and local optima are a particular difficulty in one of them. For the same dynamics, the splitting of supporting fires between two enemy forces in an optimal policy (i.e. the optimality of singular subarcs) is shown to depend only on whether the terminal payoff reflects the objective of attaining an 'overall' military advantage or a 'local' one. Additionally, switching times for changes in the ranking of target priorities are shown to be different when the decision criterion is the difference and the ratio of the military worths of total infantry survivors and also the difference and the ratio of the military worths of the combatants' total infantry losses.",  |aAlso available in print.,,,  |aMode of access: World Wide Web.;  |aSystem requirements: Adobe Acrobat reader.,,,,,,,,, 0|aTactics|xMathematical models.; 0|aCombat|xMathematical models.; 0|aFire control (Gunnery)|xMathematical models.,,,,"1 |aBrown, Gerald Gerard.",2 |aNaval Postgraduate School (U.S.),,,,,,,41|uhttp://handle.dtic.mil/100.2/ADA033760,  |lgen|nL|aUF848|b.T24|s1|tnorm|u00001|i32768001729098,,,  |aC0|bAD#,,,
ocn424631463,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,090714s1977    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o424631463;  |a;  |a;  |a;  |a,  |aADA050012|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-77-11,  |aNPS-55-77-11,,,"1 |aTaylor, James G.",,,"10|aFire distribution in Lanchester inertial combat, I :|b""Square-law"" attrition of target types /|cby James G. Taylor.",,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1977.",,  |a50 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Office of Naval Research""--Cover.;  |a""March 1977""--Cover.;  |a""NPS-55-77-11""--Cover.;  |aAuthor(s) subject terms: Deterministic optimal control, command and control, optimal fire distribution, Lanchester theory of combat, military tactics, time-sequential decision making, tactical allocation, time-sequential combat games.",,  |aIncludes bibliographical references (p. 47-48),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1977.,"  |aThe influence of command and control limitations on fire distribution tactics for a homogeneous force in combat against heterogeneous enemy forces is studied through a deterministic optimal control problem. Lanchester-type equations for a square law attrition process are used to model the combat. Command and control limitations are incorporated into the model through upper and lower bounds on the rate at which the distribution of fire can be changed. The structure of the optimal fire distribution policy is examined. It is shown that such command and control limitations do not essentially alter the optimal fire distribution decision rules, although the shifting of fires is initiated earlier when command and control limitations exist than when an entire force can instantaneously shift their fires from one target type to another. Thus, when there is inertia to overcome in shifting fires, one begins to change the distribution of fire before target priorities change in anticipation of this coming change. The theory of state variable inequality constraints plays a major role in solving this problem. Of particular mathematical difficulty is the presence of a second order state variable inequality constraint in the problem. (Author)",,,,,,,,,,,,, 0|aFire control (Gunnery)|xMathematical models.; 0|aTactics.; 0|aCombat|xMathematical models.; 0|aMathematical optimization.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aUF848|b.T243|s1|tnorm|u00001|i32768001729106,,,  |aC0|bAD#,,,
ocn432073464,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,090820s1976    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o432073464;  |a;  |a;  |a;  |a,  |aADA033761|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55TW76021,  |aNPS-55TW76021,,,"1 |aTaylor, James G.",,,10|aOptimal fire-support strategies /|c[by] James G. Taylor.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1976.",,  |a1 v. (various pagings) :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Office of Naval Research, Arlington, Virginia 22217""--Cover.;  |a""February 1976""--Cover.;  |a""NPS-55TW76021""--Cover.;  |a""Final report for period September 1974 - January 1976."";  |aAuthor(s) key words:  Military tactics, fire-support allocation policies, Lanchester theory of combat, tactical allocation, time-sequential combat games, optimal distribution of supporting fire, combat dynamics deterministic optimal control.",,  |aIncludes bibliographical references.,,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1976.,"  |aDeterministic optimal control theory is used to study the structure of optimal fire-support policies for some time-sequential tactical allocation problems with combat described by Lanchester-type equations of warfare. Numerous specific problems for determining optimal time-sequential fire-distribution policies for supporting weapon systems are studied. A sequence of one-sided time-sequential tactical allocation problems is examined to study how the optimal fire-support policy depends on the nature of the combat model (in particular, maneuver element interactions) and on the quantification of combatant objectives. The modelling of the suppressive effects of supporting weapons and their inclusion in such allocation optimization problems are discussed. The modification of such optimal time-sequential fire-support allocation policies by the inclusion of unit 'breakpoints' in the model of combat dynamics is briefly examined. Past work is reviewed and future work suggested.",  |aAlso available in print.,,,  |aMode of access: World Wide Web.;  |aSystem requirements: Adobe Acrobat reader.,,,,,,,,, 0|aTactics|xMathematical models.; 0|aFire control (Gunnery)|xMathematical models.; 0|aCombat|xMathematical models.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,41|uhttp://handle.dtic.mil/100.2/ADA033761,  |lgen|nL|aUF848|b.T25|s1|tnorm|u00001|i32768001729114,,,  |aC0|bAD#,,,
ocn430836035,OCoLC,2.00908E+13,,cr bn|||||||||,090817s1972    cau      bt  f000 0 eng d,,,,,,,  |a(Sirsi) o430836035;  |a(CStRLIN)CDKGR6058246-B,  |aAD0741075|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55AS72041A,  |aNPS-55AS72041A,,,"1 |aAndrus, Alvin F.",,,"14|aThe spare parts allocation problem with imperfect information, I /|cby Alvin F. Andrus and Donald P. Gaver.",,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1972.",,  |a60 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""April 1972""--Cover.;  |a""NPS-55AS72041A""--Cover.;  |aAuthor(s) subject terms: Spare parts allocation, decision theory.",,  |aIncludes bibliographical references (p. 26).,,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1972.,  |aSpecific decision rules for the spare parts allocation procedure for a system composed of two failure prone items are formulated and analysed. It is considered desirable to have the system operate successfully during a mission when space for only one spare is available. The decision rules formulated consider the use of operational data to decide where a spare is best placed. These rules have been numerically evaluated for several specific exponential time to failure distributions and tables associated with this evaluation are included. (Author),,,,,,,,,,,,, 0|aStatistical decision.; 0|aDecision making.,,,,"1 |aGaver, Donald Paul.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA279.4|b.A6|s1|tnorm|u00001|i32768001729262,,,  |aC0|bAD#,,,
ocn424625442,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,090714s1977    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o424625442;  |a;  |a;  |a;  |a,  |aADA039926|bDTI,  |aAD#|cAD#|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-77-20,  |aNPS-55-77-20,,,"1 |aThomas, Marlin Uluess.",,,12|aA generalized maximum entropy principle for decision analysis /|cby Marlin U. Thomas.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1977.",,  |a21 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""April 1977""--Cover.;  |a""NPS-55-77-20""--Cover.",,  |aIncludes bibliographical references (p. 18-19),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1977.,"  |aA generalized maximum entropy principle is described for dealing with decision problems involving uncertainty but with some prior knowledge about the probability space corresponding to nature. This knowledge about the probabilistic structure is expressed through known bounds on event probabilities and moments, which is incorporated into a nonlinear programming problem. The solution provides a maximum entropy distribution which is then used in treating the decision problem as one involving risk. An example application is described that involves the selection of oil spill recovery systems for inland harbor regions. Other areas of application are identified and tables of some maximum entropy distributions resulting from a variety of moment constraints are provided.",,,,,,,,,,,,, 0|aStatistical decision.; 0|aBayesian statistical decision theory.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA279.5|b.T48|s1|tnorm|u00001|i32768001729270,,,  |aC0|bAD#,,,
ocn368161608,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090602s1979    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o368161608;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA075416|bDTI,  |aAD#|cAD#|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-79-013,  |aNPS-55-79-013,,,"1 |aRead, Robert R.",,,10|aData analysis of the teaching award ballots /|cby Robert R. Read.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1979.",,  |a54 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Naval Postgraduate School, Monterey, California 93940"" -- Cover.;  |a""July 1979""--Cover.;  |a""NPS-55-79-013""--Cover.",,  |aIncludes bibliographical references (p. 51),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1979.,  |aThe report studies the data and procedures used to select the recipient of the Award for Excellence in Teaching. Several biasing features in the data summaries and record keeping are uncovered. A new scoring system is proposed and an improved data processing system is detailed. A data monitoring system is proposed which includes sensitivity analysis of the scoring as the values of arbitrary input quantities are varied. (Author),,,,,,,,,,,,, 0|aNonparametric statistics.; 0|aPublic opinion polls|xStatistical methods.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA278.8|b.R27|s1|tnorm|u00001|i32768001729353,,,  |aC0|bAD#,,,
ocn428439854,OCoLC,2.00907E+13,,,090729s1975    cau      b   f000 0 eng d,,,,,,,  |a(Sirsi) o428439854;  |a(CStRLIN)CDKGR6058257-B,  |aADA012421,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55BN75011,  |aNPS-55BN75011,,,"1 |aBarr, Donald Roy.",,,10|aUtility induced subjective probability /|cby D. R. Barr and F. R. Richards.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1975.",,  |a32 p. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""January 1975""--Cover.;  |a""NPS55BN75011""--Cover.;  |aDTIC Descriptors: subjective probabilities, utility theory, preferences.;  |aAuthor(s) subject terms: utility, decision theory, subjective probability, Bayesian inference.",,  |aIncludes bibliographical references (p. 31).,,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1975.,"  |aThe well known principle that subjective probabilities are determined from preference comparisons among finite compound lotteries is extended to a more general framework. Several assumptions made in the earlier work have been shown to be unnecessary. Applications to a variety of situations, including statistical decision problems, are discussed.",,,,,,,,  |ack/ 7/30/09.,,,,, 0|aStatistical decision.; 0|aUtility theory.,,,,"1 |aRichards, Francis Russell.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA279.4|b.B2|s1|tnorm|u00001|i32768001729395,,,  |aC0|bAD#,,,
ocn427885425,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090727s1974    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o427885425;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA003322|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55GI74101,  |aNPS-55GI74101,,,"1 |aGiauque, William Cannon.",,,10|aApplication of multidimensional utility theory in determining optimal test-treatment strategies for streptococcal sore throat and rheumatic fever /|c[by] William C. Giauque and Thomas C. Peebles.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1974.",,  |a34 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Office of Naval Research, Arlington, Virginia 22217""--Cover.;  |a""October 1974""--Cover.;  |a""NPS-55Gi74101""--Cover.;  |aAuthor(s) subject terms: Multidimensional utility theory, tradeoffs under uncertainty, multiple decision criteria.",,  |aIncludes bibliographical references (p. 27-29),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1974.,"  |aIn most decision problems there is a need to consider both multiple objective function and uncertainty.  Von Neumann-Morganstern utility theory offers a rigorous methodology for defining objectiv3es under uncertainty, and there is nothing in the theory which precludes construction and use of multiple criteria utility functions.  For some types of problems feasible methods now exist for overcoming the severe practical problems of assessing such functions.  This paper describes the analysis of a medical problem, the determination of optimal test and treatment strategies for streptococcal sore throat and rheumatic fever, in which the formulation, verification, and assessment of a multidimensional utility function was a critical part of the analysis.  Comments on the usefulness of the procedure are made, and some potential future applications summarized.  A theorem on the assessability of parameters in the utility function is also proven. (Author)",,,,,,,,,,,,, 0|aMathematical statistics.; 0|aUtility theory.; 0|aProbabilities.; 0|aRheumatic fever.,,,,"1 |aPebbles, Thomas C.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA279.4|b.G4|s1|tnorm|c00001|u00001|i32768001729403,,,  |aC0|bAD#,,,
ocn422743617,OCoLC,2.01006E+13,,,090707s1978    cau      b   f000 0 eng d,,,,,,,  |a(Sirsi) o422743617;  |a;  |a;  |a;  |a,  |aADA061047,  |aAD#|cAD#|dAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-78-016,  |aNPS-55-78-016,,,"1 |aGaver, D. P.",,,10|aFirst order autoregressive gamma sequences /|cby D. P. Gaver and P. A. W. Lewis.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1978.",,  |a33 p. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""August 1978""--Cover.;  |a""NPS55-78-016""--Cover.",,  |aIncludes bibliographical references (p. 32-33),,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1978.,  |aAn autoregressive model that generates Markov correlated time series is described. The time series have exponential or gamma distributed marginal distributions. Various properties of these time series are investigated.,,,,,,,,  |ack/ oclc 7/7/09.,,,,, 0|aTime-series analysis.; 0|aPoint processes.,,,,"1 |aLewis, P. A. W.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA280|b.G26|s1|tnorm|u00001|i32768001729478,,,  |aC0|bAD#,,,
ocn423061772,OCoLC,2.00907E+13,,,090708s1978    cau      b   f000 0 eng d,,,,,,,  |a(Sirsi) o423061772;  |a(CStRLIN)CDKGR6058265-B,  |aADA066355,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-78-033,  |aNPS-55-78-033,,,"1 |aLewis, Peter A. W.",,,10|aSimple models for positive-valued and discrete-valued time series with ARMA correlation structure /|cby P. A. W. Lewis.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1978.",,  |a37 p. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""NPS55-78-033""--Cover.;  |a""November 1978""--Cover.",,  |aIncludes bibliographical references (p. 21-22).,,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1978.,"  |aThree models for positive-valued and discrete-valued stationary time series are discussed. All have the property that for a range of specified marginal distributions the time series have the same correlation structure as the usual linear, autoregressive-moving average (ARMA) model. The models differ in the range of marginal distributions which can be accommodated and in the simplicity and flexibility of each model. Specifically the EARMA-type processes can be extended from the exponential distribution to a rather narrow range of continuous distributions; the DARMA-type processes can be defined usefully for any discrete marginal distribution and are simple and flexible. Finally the marginally controlled semiMarkov generated process can be defined for any continuous or discrete positive-valued distribution and is therefore very flexible. However, the model suffers from some complexity and parametric obscurity.",,,,,,,,  |ack/ oclc 7/8/09.,,,,, 0|aTime-series analysis|xMathematical models.; 0|aPoint processes|xMathematical models.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA280|b.L65|s1|tnorm|u00001|i32768001729486,,,  |aC0|bAD#,,,
ocn423016852,OCoLC,2.01006E+13,,,090708s1978    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o423016852;  |a;  |a;  |a;  |a,  |aADA064901,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-78-034,  |aNPS-55-78-034,,,"1 |aRichards, F. Russell.",,,13|aAn interactive software package for time series analysis /|cby F. Russell Richards and Stephen R. Woodall.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1978.",,  |a167 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""NPS55-78-034""--Cover.;  |a""November 1978""--Cover.",,  |aIncludes bibliographical references (p. 165-166),,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1978.,"  |aAn expanded package of interactive FORTRAN computer programs has been developed for the analysis and forecasting of time series data. The package, called the Time Series Editor, is designed to employ the iterative Box-Jenkins methodology of time series analysis. The Time Series Editor was developed for time-shared use on the Control Program/Cambridge Monitor System (CP/CMS) at the U.S. Naval Post-graduate School, but can be modified for use on other time-sharing systems with a FORTRAN capability. The Time Series Editor assists in data preparation and entry, analysis, modeling, forecasting and diagnostic testing. Utilization of the package, following the included User's Guide, requires only a limited knowledge of the computer system, with all required user responses interactively prompted by the Editor. Appendix A, User's Guide, is available separately as AD-A064 877.",,,,,,,,  |ack/ oclc 7/8/09.,,,,, 0|aTime-series analysis|xComputer programs.; 0|aTime-series analysis|xData processing.,,,,"1 |aWoodall, Stephen R.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA280|b.R45|s1|tnorm|u00001|i32768001729502,,,  |aC0|bAD#,,,
ocn423020137,OCoLC,2.00907E+13,,,090708s1978    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o423020137;  |a(CStRLIN)CDKGR6058268-B,  |aADA064877,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-55-78-035,  |aNPS-55-78-035,,,"1 |aRichards, F. Russell.",,,10|aUser's guide to the Time Series Editor /|cby F. Russell Richards and Stephen R. Woodall.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1978.",,  |a29 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""NPS55-78-035""--Cover.;  |a""November 1978""--Cover.",,  |aIncludes bibliographical references (p. 27-28).,,"  |a""Approved for public release; distribution is unlimited""--Cover.",  |aTechnical report; 1978.,"  |aThis report provides a user's guide to the Time Series Editor, an interactive software package for time series analysis. Data input requirements are explained; the capabilities of the software package are explained; and output options are described. A sample user session is given with actual input and output provided. Error correction and recovery techniques are described. This guide is included in AD-A064 901 as Appendix A.",,,,,,,,  |ack/ oclc 7/8/09.,,,,, 0|aTime-series analysis|xComputer programs.; 0|aComputer programs.,,,,"1 |aWoodall, Stephen R.",2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aQA280|b.R453|s1|tnorm|u00001|i32768001729510,,,  |aC0|bAD#,,,
ocn434043075,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,090827s1972    caua     b   f000 0 eng d,,,,,,,  |a(Sirsi) o434043075;  |a;  |a;  |a;  |a,  |aAD0745770|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-59SL72071A,  |aNPS-59SL72071A,,,"1 |aSarpkaya, Turgut.",,,14|aThe performance characteristics of geometrically simmilar bistable amplifiers /|cby T. Sarpkaya.,,,,"  |aMonterey, California :|bNaval Postgraduate School,|c1972.",,  |a37 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |aFinal report.;  |aHarry Diamond Laboratories, U.S., Army Materiel Command, Washington, D.C. 20438.;  |a""17 July 1972""--Cover.;  |a""NPS-59SL72071A""--Cover.;  |aDTIC Identifiers: Bistable amplifiers.;  |aAuthor(s) subject terms: Fluidics, distable smplifiers, convex-walled bistable amplifier.",,  |aIncludes bibliographical references (p. 22-23),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1972.,"  |aThe results of a comprehensive study of the comparative performance characteristics of geometrically similar vented and unvented bistable amplifiers, together with their actual dimensions, are presented. The Reynolds number in the tests ramged from 9,750 to 60,000, Mach number from 0.07 to 0.42, and the power jet velocity from 75 to 460 ft/sec. Each amplifier as conceived and designed was capable of giving a maximum of geometric flexibility which enabled a systematic evaluation of the shape and location of the splitter plate and Coanda walls.",,,,,,,,  |ack/ 8/27/09.,,,,, 0|aFluid amplifiers.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aTJ840|b.S2|s1|tnorm|u00001|i32768001729593,,,  |aC0|bAD#,,,
ocn428439858,OCoLC,2.01007E+13,m        b        ,cr cga---uuuuu,090729s1974    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o428439858;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a;  |a,  |aADA003471|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-57BP74071,  |aNPS-57BP74071,,,"1 |aBall, Robert E.",,,"10|aAircraft fuel tank vulnerability to hydraulic ram :|bmodification of the Northrop finite element, computer code BR-1 to include fluid-structure interaction ; theory and user's manual for BR-1HR /|cby R.E. Ball.",,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1974.",,  |a35 p. :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Air Force Flight Dynamics Laboratory, Wright-Patterson AFB, OH 45433""--Cover.;  |a""July 1974""--Cover.;  |a""NPS-57Bp74071""--Cover.;  |a""Final report for period 1 July 1973 - 30 June 1974."";  |aAuthor(s) subject terms: Aircraft survivability, aircraft vulnerability, fuel cells, hydraulic ram.",,  |aIncludes bibliographical references (p. 23-24),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1974.,"  |aThe finite element digital computer code BR-1, developed by the Northrop Corporation, for predicting the effects of internal air blast on combat aircraft structures is modified to include the effects of compressible fluid-structure interaction.  The true interaction phenomenon is approximated by the piston theory.  The modification enables the code to be used to predict the structural response of aircraft fuel tanks subjected to penetrating bullets and fragments.  IT can also be used in many other fluid-structure interaction problems.  This report contains the theory, the modifications, and the additional instructions required to operate the modified code, called BR-1HR.  The code is operational on the IBM 360/67 in FORTRAN IV, Level H. (Author)",,,,,,,,,,,,," 0|aHydraulic rams|xComputer programs.; 0|aAirplanes|xFuel tanks|xDesign and construction|xComputer programs.; 0|aAirplanes, Military|xCombat survivability.",,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aTJ905|b.B16|s1|tnorm|u00001|i32768001729619,,,  |aC0|bAD#,,,
ocn428440041,OCoLC,2.01006E+13,m        b        ,cr cga---uuuuu,090729s1974    caua     bt  f000 0 eng d,,,,,,,  |a(Sirsi) o428440041;  |a;  |a;  |a;  |a,  |aADA001618|bDTI,  |aAD#|cAD#,,,,  |aAD#A,,,,,,0 |aD 208.14/2:NPS-57BP74031,  |aNPS-57BP74031,,,"1 |aBall, Robert E.",,,10|aPrediction of the response of the exit wall of the NWC 50 cubic feet tank to hydraulic ram /|c[by] R.E. Ball.,,,,"  |aMonterey, Calif. :|bNaval Postgraduate School,|c1974.",,  |a7 leaves :|bill. ;|c28 cm.,,,,,,"  |aTitle from cover.;  |a""Prepared for: Naval Weapons Center, China Lake, California 93555""--Cover.;  |a""March 1974""--Cover.;  |a""NPS-57Bp74031""--Cover.;  |a""Interim report for period 1 July 1973 - 30 June 1974.""",,  |aIncludes bibliographical references (p. 7),,"  |a""Approved for public release; distribution unlimited""--Cover.",  |aTechnical report; 1974.,"  |aThe Naval Weapons Center is conducting a series of hydraulic ram effects tests on simulated fuel tanks. 12.7mm API projectiles are fired at a fluid-filled rectangular tank with a stretched rubber membrane entry wall and a thin 20 inch x 20 inch aluminum exit wall. The computer code SATANS has been used, in conjunction with NWC code for the fluid pressure, to predict the response of the exit wall to the passage of the 12.7mm projectiles. This report presents the computer results.",,,,,,,,,,,,, 0|aHydraulic rams|xComputer programs.; 0|aAirplanes|xFuel tanks|xDesign and construction|xComputer programs.,,,,,2 |aNaval Postgraduate School (U.S.),,,,,,,,  |lgen|nL|aTJ905|b.B2|s1|tnorm|u00001|i32768001729627,,,  |aC0|bAD#,,,
